12.05.2018 23:03:21: Function SiInitialize returns SPW_NO_ERROR
12.05.2018 23:03:21: Function SiOpenWinInit returns 2951776(window handle)
12.05.2018 23:03:22: Function SiOpen returns 124743344(device handle)
12.05.2018 23:03:22: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:22: Function SiGetEvent returns 0(SI_IS_EVENT)
12.05.2018 23:03:22: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:22: Function SiGetEvent returns 0(SI_IS_EVENT)
12.05.2018 23:03:22: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:22: Function SiGetEvent returns 0(SI_IS_EVENT)
12.05.2018 23:03:22: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:22: Function SiGetEvent returns 0(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_ZERO_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_ZERO_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:24: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:24: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
12.05.2018 23:03:25: Function SiGetEvent returns SI_MOTION_EVENT(SI_IS_EVENT)
12.05.2018 23:03:25: Function SiGetEventWinInit returns 49631
